taxels_left_up,taxels_left_down,taxels_right_up,taxels_right_down,taxels_up_left,taxels_up_right,taxels_down_left,taxels_down_right,taxels_left_pressure,taxels_right_pressure,taxels_up_pressure,taxels_down_pressure
13400,14464,13781,15056,13566,16216,9942,53487,52660,11542,58870,45903
13426,14408,13811,15094,13535,16218,9958,53558,52623,11559,58853,45939
13454,14397,13804,15032,13494,16226,9965,53425,52632,11546,58825,45956
13446,14406,13818,15111,13441,16212,9959,53510,52598,11550,58796,45972
13441,14420,13809,15063,13404,16228,9946,53440,52582,11535,58783,45930
13436,14388,13797,15045,13388,16231,9964,53408,52563,11549,58732,45908
13457,14417,13805,15029,13367,16251,9966,53429,52620,11547,58745,45945
13430,14424,13767,15126,13393,16228,9990,53487,52637,11568,58671,46032
13427,14406,13762,15076,13404,16273,9932,53472,52548,11559,58742,45929
13413,14424,13757,15077,13409,16243,9966,53452,52608,11564,58695,45958
13422,14403,13756,15074,13395,16216,9964,53405,52543,11544,58641,45941
13413,14421,13790,15076,13409,16250,9986,53471,52624,11562,58715,45981
13382,14400,13744,15062,13397,16241,9947,53393,52513,11549,58649,45883
13424,14413,13744,15065,13427,16263,9975,53405,52610,11541,58748,45979
13401,14410,13761,15077,13410,16238,9937,53400,52544,11551,58677,45899
13405,14421,13748,15129,13412,16239,9959,53463,52571,11558,58725,45928
13391,14417,13764,15037,13445,16238,9941,53397,52515,11543,58693,45890
13400,14400,13748,15045,13474,16250,9953,53409,52591,11558,58746,45917
13384,14416,13737,15103,13514,16210,9952,53473,52553,11540,58756,45897
13385,14421,13697,15100,13514,16229,9917,53438,52524,11554,58726,45886
13385,14399,13726,15097,13538,16191,9908,53456,52466,11512,58748,45838
13370,14431,13723,15129,13542,16245,9910,53517,52555,11525,58814,45835
13395,14418,13734,15071,13524,16238,9896,53449,52537,11528,58788,45825
13418,14424,13785,14978,13523,16205,9962,53414,52573,11540,58767,45863
13422,14374,13797,15029,13484,16200,9933,53443,52546,11542,58735,45852
13423,14400,13811,14985,13452,16187,9906,53360,52507,11545,58767,45795
13422,14406,13827,15028,13411,16224,9930,53408,52562,11537,58775,45842
13474,14380,13852,15081,13372,16265,9924,53494,52544,11522,58804,45873
13465,14381,13840,15030,13374,16256,9948,53449,52569,11536,58822,45878
13444,14381,13840,15021,13348,16273,9935,53460,52572,11539,58746,45905
13442,14390,13813,15048,13378,16323,9941,53522,52520,11548,58829,45869
13425,14402,13779,15088,13380,16325,9965,53543,52562,11543,58803,45895
13423,14419,13783,15075,13342,16385,9950,53493,52571,11520,58813,45870
13404,14387,13758,15100,13355,16362,9944,53505,52505,11544,58775,45930
13392,14401,13720,15095,13360,16290,9929,53414,52491,11537,58652,45837
13396,14417,13735,15126,13382,16312,9958,53484,52573,11554,58725,45919
13385,14444,13701,15099,13388,16241,9932,53390,52535,11519,58675,45805
13389,14420,13732,15119,13393,16253,9922,53435,52533,11536,58685,45847
13380,14403,13688,15095,13417,16252,9913,53384,52452,11538,58684,45837
13373,14402,13703,15087,13453,16226,9933,53410,52467,11530,58672,45828
13378,14381,13692,15178,13484,16220,9930,53511,52451,11537,58698,45838
13409,14365,13677,15124,13511,16238,9938,53448,52505,11523,58741,45832
13387,14400,13684,15101,13501,16229,9946,53462,52517,11530,58706,45884
13370,14383,13687,15085,13527,16185,9945,53447,52464,11530,58663,45850
13389,14389,13699,15091,13522,16211,9943,53516,52455,11524,58718,45860
13375,14388,13690,15152,13550,16214,9965,53588,52453,11540,58736,45898
13355,14396,13706,15142,13547,16186,9995,53619,52434,11530,58758,45950
13394,14376,13724,15049,13546,16221,10021,53535,52506,11523,58742,45887
13386,14392,13776,14986,13510,16215,10004,53459,52521,11507,58761,45863
13418,14387,13839,15001,13465,16142,9998,53450,52512,11506,58644,45911
13419,14337,13855,14951,13448,16205,9928,53403,52416,11492,58697,45769
13426,14371,13846,15003,13413,16185,9929,53378,52489,11499,58738,45794
13461,14358,13870,14986,13371,16195,9875,53353,52455,11529,58676,45843
13451,14407,13871,15036,13403,16207,9903,53444,52545,11523,58760,45847
13461,14372,13841,15099,13348,16258,9913,53444,52542,11523,58780,45817
13432,14367,13843,14975,13347,16259,9900,53329,52487,11519,58724,45816
13419,14356,13795,15047,13335,16259,9868,53387,52426,11526,58670,45755
13393,14414,13770,15051,13366,16252,9929,53387,52477,11528,58668,45855
13387,14387,13779,15020,13341,16275,9939,53337,52474,11529,58626,45883
13411,14379,13755,15073,13367,16219,9915,53403,52463,11545,58609,45865
13402,14396,13744,15006,13367,16201,9943,53249,52520,11528,58568,45863
13383,14387,13729,15038,13395,16242,9907,53307,52461,11524,58633,45783
13392,14403,13740,15032,13406,16194,9915,53337,52475,11534,58574,45797
13395,14365,13751,15032,13383,16214,9861,53325,52378,11535,58603,45773
13401,14352,13730,15014,13391,16232,9891,53259,52429,11513,58591,45768
13374,14426,13726,15050,13423,16237,9920,53334,52510,11531,58704,45795
13382,14433,13681,15099,13422,16224,9913,53332,52522,11534,58602,45846
13392,14377,13723,15126,13435,16245,9911,53409,52514,11567,58701,45858
