taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
38658,42149,41417,34744,54064,53121,156968
38622,42165,41456,34759,54087,53107,157002
38643,42194,41498,34711,54115,53161,157046
38672,42274,41495,34710,54102,53177,157151
38704,42164,41548,34796,54146,53178,157212
38708,42228,41617,34783,54169,53219,157336
38633,42207,41540,34759,54145,53159,157139
38658,42147,41607,34714,54090,53194,157126
38721,42164,41669,34657,54093,53211,157211
38704,42178,41651,34726,54142,53223,157259
38707,42227,41669,34740,54203,53237,157343
38726,42259,41650,34743,54210,53234,157378
38658,42197,41708,34715,54120,53232,157278
38672,42197,41639,34687,54096,53218,157195
38660,42217,41613,34724,54118,53206,157214
38660,42231,41636,34710,54095,53270,157237
38653,42225,41602,34672,54092,53180,157152
38643,42253,41676,34701,54126,53234,157273
38621,42157,41608,34681,54029,53178,157067
38702,42191,41635,34661,54129,53175,157189
38638,42096,41630,34638,54013,53155,157002
38599,42174,41589,34657,54043,53172,157019
38628,42108,41597,34658,53992,53150,156991
38616,42165,41619,34616,54011,53169,157016
38552,42172,41586,34602,53998,53130,156912
38614,42126,41560,34581,53945,53143,156881
38559,42115,41507,34598,53924,53099,156779
38654,42204,41592,34640,54094,53174,157090
38600,42168,41584,34618,54013,53153,156970
38586,42218,41570,34642,54060,53167,157016
38559,42151,41660,34631,54048,53122,157001
38568,42135,41602,34591,54007,53102,156896
38574,42168,41513,34625,54017,53115,156880
38553,42197,41535,34658,54014,53159,156943
38593,42176,41597,34685,54049,53148,157051
38613,42212,41602,34680,54047,53214,157107
38583,42190,41590,34649,54040,53163,157012
38576,42171,41614,34618,54057,53143,156979
38571,42121,41555,34607,53963,53132,156854
38591,42183,41600,34623,54039,53146,156997
38595,42169,41548,34674,54033,53160,156986
38635,42194,41590,34714,54126,53178,157133
38600,42144,41582,34628,53980,53128,156954
38635,42137,41582,34617,53983,53156,156971
38604,42191,41600,34730,54083,53148,157125
38624,42230,41596,34694,54108,53161,157144
38622,42235,41552,34679,54080,53151,157088
38592,42164,41493,34673,54047,53115,156922
38566,42158,41476,34666,54001,53117,156866
38607,42182,41412,34707,53991,53135,156908
38564,42164,41397,34743,54061,53110,156868
38626,42200,41360,34779,54112,53135,156965
38559,42133,41289,34813,54009,53080,156794
38530,42098,41212,34811,53940,53065,156651
38525,42162,41177,34943,53971,53174,156807
38590,42161,41170,35018,54043,53184,156939
38524,42003,41101,35070,53916,53155,156698
38539,42106,41138,35160,54045,53189,156943
38557,42157,41128,35211,54044,53235,157053
38579,42165,41142,35255,54224,53213,157141
38538,42043,41085,35215,54005,53181,156881
38564,42037,41084,35227,54094,53111,156912
38530,42081,41071,35272,54094,53171,156954
38587,42093,41117,35299,54207,53160,157096
38592,42051,41090,35310,54116,53194,157043
38561,42073,41095,35323,54170,53196,157052
38510,42036,41107,35272,54096,53119,156925
38556,42130,41133,35287,54159,53179,157106
38520,42056,41091,35287,54106,53142,156954
38542,42090,41122,35286,54110,53208,157040
38524,42076,41115,35287,54134,53170,157002
38519,42058,41166,35325,54119,53223,157068
38482,42063,41092,35319,54096,53168,156956
38511,42064,41110,35281,54154,53135,156966
38505,42060,41111,35286,54075,53172,156962
38522,42115,41125,35268,54103,53186,157030
38507,42103,41074,35357,54154,53168,157041
38542,42078,41117,35339,54130,53169,157076
38481,42100,41087,35323,54105,53161,156991
38531,42104,41138,35380,54123,53195,157153
38459,42093,41097,35310,54140,53138,156959
38537,42132,41117,35366,54206,53202,157152
38513,42077,41080,35368,54180,53164,157038
38495,42160,41115,35432,54234,53200,157202
38465,42055,41073,35321,54122,53133,156914
38487,42104,41131,35390,54190,53206,157112
38540,42111,41121,35356,54206,53185,157128
38493,42148,41095,35409,54191,53232,157145
38531,42090,41100,35401,54189,53198,157122
38565,42083,41088,35353,54174,53196,157089
38494,42081,41061,35386,54171,53165,157022
38505,42113,41135,35412,54169,53236,157165
38542,42112,41093,35320,54116,53227,157067
38547,42245,41124,35412,54240,53293,157328
38560,42149,41127,35385,54166,53252,157221
38514,42108,41078,35403,54174,53212,157103
38529,42056,41093,35306,54105,53175,156984
38596,42075,41156,35390,54188,53245,157217
38495,42145,41107,35410,54163,53225,157157
38559,42160,41163,35371,54178,53269,157253
38531,42237,41134,35358,54231,53246,157260
38581,42109,41183,35429,54125,53353,157302
38538,42165,41162,35365,54163,53275,157230
38564,42275,41222,35391,54274,53341,157452
38516,42189,41114,35355,54165,53249,157174
38551,42151,41146,35310,54179,53198,157158
38535,42161,41149,35292,54130,53281,157137
38557,42155,41165,35217,54083,53259,157094
38576,42103,41163,35105,53970,53213,156947
