taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
38821,42002,41129,34791,53834,53120,156743
38784,42049,41159,34819,53902,53151,156811
38797,42082,41163,34796,53972,53167,156838
38789,42064,41144,34799,53894,53167,156796
38794,42018,41124,34736,53857,53086,156672
38794,42017,41154,34767,53879,53145,156732
38789,41998,41158,34751,53824,53132,156696
38790,42002,41237,34785,53874,53191,156814
38762,42064,41131,34869,53923,53191,156826
38761,41969,41146,34748,53806,53117,156624
38771,41997,41105,34741,53802,53106,156614
38688,42062,41154,34781,53828,53155,156685
38784,42010,41143,34796,53818,53151,156733
38725,42100,41159,34803,53891,53166,156787
38781,42025,41140,34826,53906,53173,156772
38752,41963,41145,34772,53807,53126,156632
38676,42058,41149,34790,53884,53108,156673
38738,42042,41164,34788,53833,53162,156732
38761,42035,41170,34820,53867,53147,156786
38815,41987,41124,34789,53819,53132,156715
38842,42032,41116,34805,53886,53136,156795
38850,42058,41140,34792,53884,53170,156840
38867,41969,41111,34720,53801,53122,156667
38869,42050,41126,34749,53901,53170,156794
38889,42052,41152,34759,53893,53186,156852
38941,42050,41182,34724,53879,53204,156897
38867,42054,41161,34757,53915,53173,156839
38879,42031,41203,34757,53884,53216,156870
38869,41997,41167,34760,53834,53193,156793
38888,42056,41099,34765,53850,53182,156808
38864,42046,41125,34738,53882,53185,156773
38934,42031,41184,34757,53979,53164,156906
38943,42030,41119,34708,53884,53168,156800
38905,42007,41100,34666,53807,53133,156678
38896,42010,41162,34665,53866,53117,156733
38929,42074,41137,34737,53936,53191,156877
38877,42010,41092,34685,53865,53089,156664
38967,41993,41166,34698,53926,53135,156824
38910,41956,41116,34682,53835,53133,156664
38878,41998,41133,34654,53810,53114,156663
38869,41999,41097,34650,53822,53042,156615
38876,41998,41073,34635,53838,53056,156582
38896,41958,41059,34692,53820,53071,156605
38860,41949,41107,34692,53863,53066,156608
38903,41972,41102,34753,53867,53124,156730
38900,42017,41074,34683,53804,53124,156674
38855,41936,41045,34603,53767,53051,156439
38892,41960,41142,34607,53761,53097,156601
38881,41999,41061,34657,53805,53080,156598
38926,42037,41177,34699,53897,53160,156839
38845,41981,41130,34608,53824,53085,156564
38869,41987,41129,34601,53736,53116,156586
38865,41987,41088,34671,53784,53138,156611
38906,41982,41106,34601,53777,53105,156595
38823,42077,41126,34624,53846,53122,156650
38866,41960,41080,34620,53795,53060,156526
38875,41963,41086,34724,53827,53114,156648
38862,41974,41100,34648,53783,53120,156584
38860,41963,41095,34637,53817,53101,156555
38906,42051,41162,34677,53878,53147,156796
38931,42039,41180,34681,53899,53143,156831
38936,41995,41134,34710,53837,53172,156775
38868,42043,41123,34667,53806,53155,156701
38884,42026,41135,34676,53856,53134,156721
38916,42026,41159,34659,53865,53144,156760
38939,42052,41167,34683,53894,53178,156841
38887,42030,41142,34727,53877,53153,156786
38924,42035,41184,34731,53891,53199,156874
38931,41996,41147,34674,53803,53161,156748
38873,42083,41140,34667,53858,53158,156763
38908,41949,41157,34686,53811,53139,156700
38941,42048,41165,34684,53910,53194,156838
38885,42044,41186,34691,53885,53150,156806
38930,42070,41143,34662,53845,53227,156805
38832,42013,41122,34711,53829,53160,156678
38927,42035,41100,34678,53810,53207,156740
38937,41985,41206,34687,53862,53206,156815
38902,42035,41236,34661,53865,53186,156834
38903,42055,41098,34702,53886,53162,156758
38891,42096,41189,34716,53906,53222,156892
38891,42073,41185,34683,53934,53153,156832
38908,41990,41118,34649,53806,53161,156665
38887,42107,41147,34694,53940,53165,156835
38855,42067,41147,34691,53879,53186,156760
38886,42095,41196,34722,53941,53207,156899
38869,42007,41156,34663,53814,53205,156695
38874,42025,41135,34726,53847,53167,156760
38930,42028,41154,34683,53821,53278,156795
38805,42044,41116,34649,53847,53129,156614
38849,41999,41143,34691,53856,53154,156682
38855,42073,41154,34675,53881,53160,156757
38937,42033,41208,34664,53887,53192,156842
