taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
38436,42320,41303,34788,54102,53078,156847
38450,42311,41245,34811,54066,53119,156817
38397,42319,41228,34903,54075,53122,156847
38440,42374,41225,34957,54180,53164,156996
38388,42323,41134,35067,54064,53179,156912
38365,42334,41181,35062,54115,53157,156942
38348,42224,41101,35135,54089,53105,156808
38352,42277,41155,35167,54160,53152,156951
38399,42223,41137,35162,54083,53142,156921
38412,42291,41161,35308,54243,53239,157172
38399,42254,41177,35327,54244,53209,157157
38451,42193,41154,35332,54190,53209,157130
38430,42184,41103,35322,54173,53189,157039
38510,42122,41114,35243,54089,53190,156989
38597,42088,41119,35226,54130,53161,157030
38732,42126,41160,35218,54164,53259,157236
38776,42111,41091,35136,54119,53216,157114
38855,42078,41103,35013,54044,53186,157049
38877,42009,41116,34985,54001,53168,156987
38933,42075,41130,34893,54041,53171,157031
38945,42104,41148,34840,54053,53134,157037
38964,42081,41149,34822,54048,53158,157016
38972,42013,41182,34746,53945,53147,156913
38907,42060,41297,34689,53983,53112,156953
38808,42048,41309,34664,53968,53052,156829
38640,42121,41393,34697,54025,53058,156851
38568,42126,41328,34714,54014,53022,156736
38539,42212,41483,34764,54076,53091,156998
38527,42142,41388,34746,53999,53078,156803
38485,42281,41364,34743,54075,53134,156873
38477,42244,41325,34790,54040,53062,156836
38475,42306,41252,34827,54041,53115,156860
38437,42242,41231,34810,53972,53123,156720
38479,42279,41192,34908,54035,53179,156858
38432,42242,41160,34945,54012,53131,156779
38506,42253,41192,35059,54064,53214,157010
38440,42174,41136,35036,53983,53146,156786
38451,42277,41159,35069,54033,53228,156956
38412,42183,41119,35117,53978,53210,156831
38447,42157,41136,35159,54001,53223,156899
38450,42275,41107,35216,54094,53283,157048
38464,42100,41142,35248,54049,53242,156954
38511,42055,41074,35253,54052,53151,156893
38577,42080,41050,35206,54050,53168,156913
38749,42043,41063,35122,54037,53171,156977
38787,42084,41100,35000,54047,53168,156971
38916,42041,41159,34935,54020,53202,157051
38993,42060,41161,34800,54040,53108,157014
38901,41995,41207,34686,53936,53047,156789
38892,42031,41269,34671,53969,53081,156863
38789,42132,41380,34672,53992,53104,156973
38760,42101,41445,34692,53997,53155,156998
38605,42172,41488,34618,54020,53121,156883
38616,42173,41491,34678,54000,53154,156958
38434,42176,41401,34678,53949,53075,156689
38428,42179,41353,34751,54050,53026,156711
38445,42249,41261,34739,54073,53036,156694
38452,42341,41297,34781,54125,53118,156871
38383,42298,41252,34869,54009,53100,156802
38418,42356,41202,34932,54124,53142,156908
38337,42238,41138,34941,53976,53091,156654
38405,42260,41168,34999,54065,53126,156832
38417,42231,41163,35068,54040,53138,156879
38416,42343,41127,35145,54175,53178,157031
38434,42215,41135,35189,54178,53129,156973
38421,42179,41152,35264,54189,53184,157016
38403,42105,41092,35213,54086,53113,156813
38445,42182,41141,35245,54175,53141,157013
38498,42127,41114,35265,54171,53145,157004
38558,42139,41097,35345,54256,53162,157139
38631,42070,41112,35301,54166,53181,157114
38691,42045,41199,35251,54131,53191,157186
38725,41985,41093,35171,54070,53130,156974
38775,42062,41095,35128,54067,53203,157060
38822,42046,41105,35055,54089,53153,157028
38916,42051,41128,35015,54034,53246,157110
38937,42063,41142,34916,54010,53209,157058
38932,42037,41099,34847,53948,53156,156915
38996,42061,41121,34779,53930,53172,156957
39062,42026,41207,34676,53933,53171,156971
38991,42040,41340,34652,53934,53199,157023
